field,section,idx,description,include,subsection_descr,placeholder,atc_codes
Group,2,OT,Abdominal cavity," peritoneum, peritoneal [retroperitoneal] cavity, pelvic cavity, extraperitoneal space, subdiaphragmatic space, omentum, mesentery, sinuses/fistula of cavity, neoplasm which occupies the abdominal cavity and whose point of origin cannot easily be assigned to a single point of origin",Diagnostic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,2,OW,Surgically constructed sites in digestive and biliary tract,"gastric pouch, pelvic pouch, ileal reservoir, Kock pouch, roux en y limb [of anastomosis], esophagostomy, gastrostomy, duodenostomy, jejunostomy, ileostomy, enterostomy, colostomy, neoesophagus, neopharynx, neorectum",Diagnostic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,2,OZ,Digestive system NEC,,Diagnostic Interventions on the Digestive and Hepatobiliary Tracts and Other Sites within the Abdominal Cavity NEC,8,
Group,2,PB,Adrenal gland,,Diagnostic Interventions on the Genitourinary System,9,
Group,2,PC,Kidney,"ectopic kidney, kidney NOS, kidney with renal pelvis, renal capsule, renal cortex, renal medulla, kidney with adrenal gland",Diagnostic Interventions on the Genitourinary System,9,
Group,2,PE,Renal pelvis,"renal calyces, ureteropelvic junction [UPJ]",Diagnostic Interventions on the Genitourinary System,9,
Group,2,PG,Ureter,"ectopic ureter, ureter NOS, ureteral meatus, ureterovesical junction and orifice(s)",Diagnostic Interventions on the Genitourinary System,9,
Group,2,PM,Bladder,"bladder NOS, bladder with bladder neck, bladder neck, dome of bladder, intraluminous tissue of bladder, trigone of bladder, urachus",Diagnostic Interventions on the Genitourinary System,9,
Group,2,PQ,Urethra,"urethral sphincter, peri-urethral gland, Skene's gland [duct], urethra [bulbous, penile, prostatic], urethral meatus, urethral valves",Diagnostic Interventions on the Genitourinary System,9,
Group,2,PV,Surgically created urinary tract,"pyelostomy tract, nephrostomy tract, ureterostomy tract, cystostomy tract, urethrostomy tract, ileoconduit",Diagnostic Interventions on the Genitourinary System,9,
Group,2,QE,Penis,"Buck's fascia, corpus spongiosum, corpus cavernosa, glans penis, prepuce (foreskin) with body of penis, skin of penis",Diagnostic Interventions on the Genitourinary System,9,
Group,2,QG,Scrotum,"dartos tunic, scrotal skin, spermatic fascia, scrotum with contents",Diagnostic Interventions on the Genitourinary System,9,
Group,2,QJ,Epididymis,"organ of Giraldes [paradidymis], vas aberrans of Haller, appendix epididymis",Diagnostic Interventions on the Genitourinary System,9,
Group,2,QM,Testis,"appendix testis, cyst of Morgagni, ectopic testis, tunica vaginalis",Diagnostic Interventions on the Genitourinary System,9,
Group,2,QN,Vas deferens,,Diagnostic Interventions on the Genitourinary System,9,
Group,2,QP,Spermatic cord,spermatic vein,Diagnostic Interventions on the Genitourinary System,9,
Group,2,QQ,Seminal vesicles,ejaculatory duct,Diagnostic Interventions on the Genitourinary System,9,
Group,2,QT,Prostate,,Diagnostic Interventions on the Genitourinary System,9,
Group,2,QZ,Male genital tract NEC,male genital tract NOS,Diagnostic Interventions on the Genitourinary System,9,
Group,2,RB,Ovary,"ligaments of ovary, ovary NOS, ovas",Diagnostic Interventions on the Genitourinary System,9,
Group,2,RF,Fallopian tube,"fimbria of fallopian tube, hydatid of Morgagni, uterine tube",Diagnostic Interventions on the Genitourinary System,9,
Group,2,RJ,Uterine ligaments,,Diagnostic Interventions on the Genitourinary System,9,
Group,2,RM,Uterus and surrounding structures,"body of uterus, cervix with body of uterus, uterus NOS, endometrium",Diagnostic Interventions on the Genitourinary System,9,
Group,2,RN,Cervix,"cervix, supravaginal cervix, uterine orifice [external os], canal of cervix",Diagnostic Interventions on the Genitourinary System,9,
Group,2,RS,Vagina,"fornix [anterior, posterior, cul-de-sac], vaginal orifice, vaginal vault, vaginal walls [anterior, posterior]",Diagnostic Interventions on the Genitourinary System,9,
Group,2,RW,Vulva,"Bartholin's glands [greater vestibular glands], bulb of vestibule, clitoris, hymen, labia [minora, majora], mons pubis, vestibule, vulva with perineum",Diagnostic Interventions on the Genitourinary System,9,
Group,2,RY,Perineum,male perineum,Diagnostic Interventions on the Genitourinary System,9,
Group,2,RZ,Female genital tract NEC,pelvic [female] region,Diagnostic Interventions on the Genitourinary System,9,
Group,2,SA,Atlas and axis,"atlantoaxial joint, cervical spinal vertebrae: C1 and C2 [with or without C3], occipitoatlantal joint, transverse ligament of occipitoatlantal joint",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,SC,Spinal vertebrae,"transverse process of vertebrae, vertebral joints [facet, interspinous ligament], vertebral column, lumbosacral spinal vertebrae [vertebrae L1-S2], spine NOS",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,SE,Intervertebral Disc,"annulus fibrosus, nucleus pulposus",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,SF,Sacrum and coccyx,,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,SG,Muscles of the back,"transversus aponeurosis, thoracolumbar fascia, muscles and tendons of back NOS, erector spinal vertebrae, iliocostalis, latissimus dorsi, longissimus thoracis and colli, rhomboid, semi-spinalis and serratus posterior muscles",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,SH,Soft tissue of the back,"abscess arising in or extending as deep as muscle or tendon of back, hematoma arising in or extending as deep as muscle or tendon of back, neoplasm arising or extending as deep as muscle or tendon of back , soft tissue wound of back",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,SK,Sternum,"manubrium, sternebrae body, xiphoid process",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,SL,Ribs,cartilage and ligaments [intercostal and sternocostal] of ribs,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,SM,Clavicle, collar bone,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,SN,Scapula," inter-thoracoscapular joint, shoulder blade NOS",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,SQ,Pelvis,"acetabulum alone, iliac crest, ilium, ischium, pelvis with pubis with acetabulum with femoral head [when affected in its entirety (e.g. amputation)]",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,SW,Pubis,"pubis alone, pubis ramus, symphysis pubis",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,SY,Muscles of the chest and abdomen,"internal intercostal, pectoralis major [medial and lateral], serratus anterior, transversus thoracis and teres muscles; muscles and tendons of chest NOS; chest wall NOS; internal and external oblique, rectus abdominis, transversus abdominis [internal and external], inguinal ligament, linea alba and semilunaris; muscles and tendons of abdomen NOS; abdominal wall; deep fascia [endo suprapleural membrane, transversalis, obturator internus]",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,SZ,Soft tissue of the chest and abdomen,abscess arising in or extending as deep as chest or abdominal wall; hematoma arising in or extending as deep as chest or abdominal wall; neoplasm arising in or extending as deep as chest or abdominal wall; wound of soft tissue or chest and abdomen,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,TA,Shoulder joint,"bursa, capsule, cartilage, ligament and synovial lining of coracohumeral and glenohumeral joints; shoulder ligaments [coracohumeral, glenohumeral ligaments, glenoid labrum, humeral and rotator interval]; glenoid cavity, labrum; humeral head and surgical neck; greater tuberosity [tubercle] of humerus; shoulder joint NOS",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,TB,Acromioclavicular and sternoclavicular joints,"subacromial bursa, and capsule; acromioclavicular, coracoacromial, coracoclavicular, coracohumeral ligaments; sternoclavicular articular disc; sternoclavicular, costoclavicular and interclavicular ligaments; acromion; coracoid process; distal end of clavicle with acromion; subacromial space",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,TC,Rotator cuff," infraspinatus, subscapularis, supraspinatus and teres minor muscles and tendons",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,TK,Humerus,epiphysis and periosteum of humerus; supracondylar ridge [lateral and medial] of humerus,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,TM,Elbow joint,"Bursa, capsule, cartilage, ligaments and synovial lining of: radiohumeral joint, ulnohumeral joint, elbow joint NOS, articular surface of distal humerus, articular surface of proximal radius and ulna; distal humerus capitulum, epicondyles, (medial and lateral), trochlea; radial head and neck; ulnar coronoid process, olecranon, tubercle",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,TV,Radius and ulna,"radius NOS, tuberosity of radius, ulna NOS, tuberosity of ulna, epiphysis or periosteum of radius and ulna",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,TX,Soft tissue of arm NEC,"soft tissue neoplasm arising in or extending into soft tissue of arm [any site]; wound of soft tissue of arm, muscles of the arm [around shoulder], tendons of the arm, muscles of the forearm [around elbow], tendons of the forearm",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,TZ,Arm NEC,,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,UB,Wrist joint,"articular disc, bursa, capsule, cartilage, ligament and synovial lining; radiocarpal, ulnocarpal joints; radial tubercle; ulnar head; styloid process: radius and ulna",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,UC,Distal radioulnar joint and carpal joints and bones,"carpal joints; carpal bones: capitate [os magnum], hamate [unciform], lunate [semilunar], navicular [scaphoid], pisiform, trapezoid, triquetrum [cuneiform of carpus], carpometacarpal joint, intercarpal joints, midcarpal joints, radioulnar joint, volar wrist ligaments; capsule, cartilage ligament and synovial lining of carpal and radioulnar joints",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,UF,Other metacarpal bones,,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,UJ,Phalanx of hand,"tuft of distal phalanx, phalanx of hand, bones of fingers NOS",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,UL,Joints of finger and hand NEC,"metacarpophalageal joint(s), interphalangeal joints",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,UY,Soft tissue of the wrist and hand,"Extrinsic muscles of hand and wrist- Extensor wad of three [extensor carpi radialis longus and brevis, brachioradialis]; Flexor wad of five- [flexor carpi ulnaris and radialis, palmaris longus, flexor digitorum superficialis and profundus, pronator teres and quadratus, supinator]; Flexor pollicis longus; Extensor digitorum communis, extensor indicis proprius, extensor pollicis longus and brevis; Abductor pollicis longus and brevis; Adductor pollicis; Dorsal extensor [fascial] compartments; Intrinsic muscles of hand- Lumbricales, dorsal interossei, volar interossei; Thenar [opponens pollicis, abductor pollicis brevis, flexor pollicis brevis]; Hypothenar [opponens digiti minimi, flexor digiti quinti brevis, abductor digiti quinti or minimi];Muscles of hand, thumb and fingers NOS; Retinacula [digital, flexor and extensor];Palmar fascia; Fascia of hand NOS; Deep palmar space; Thenar space; Neoplasm of soft tissue [arising in or extending into muscle] of hand or wrist; Wounds of soft tissue of wrist and hand",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,VA,Hip joint,"acetabulum with femoral head or neck and supporting joint structures [bursa, capsule, cartilage, synovium, ligament, ligamentum teres]; hip joint NOS entire pelvis (see SQ)",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,VC,Femur,trochanter [greater and lesser] of femur; intertrochanter of femur; pertrochanter of femur,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,VG,Knee joint,"articular surface of proximal tibia and fibula; articular surface of distal femur; bursa, capsule, cartilage, ligaments of knee NEC; femoral medial and lateral condyles and epicondyles; synovial lining of tibiofibular and tibiofemoral joints of knee; tibial plateau, medial and lateral condyles; knee NOS",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,VK,Meniscus of knee,"lateral, medial meniscus; posterior meniscofemoral ligament; semilunar cartilage",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,VN,Cruciate with collateral ligaments of knee,cruciate with collateral ligaments with or without meniscus of knee,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,VP,Patella, patellofemoral joint; patellar ligaments; knee cap,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,VQ,Tibia and fibula,tibia NOS; fibula NOS; epiphysis of tibia and fibula; periosteum of tibia and fibula; tuberosity of tibia; neck of fibula; skeletal tissue below knee and above ankle,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,VX,Soft tissue of leg,"Soft tissue of leg (any site); Soft tissue of hip and thigh; Wound of leg; Neoplasm arising in or extending as deep as muscle or tendon, lower leg, muscles and tendons of hip, thigh and lower leg",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,VZ,Leg NEC,,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,WA,Ankle joint,"articular surface of distal tibia and fibula; bursa, capsule, cartilage, synovial lining of ankle, malleolus [lateral and medial]; tibiotalar joint; supratalar joint",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,WH,Foot and toe joints," intertarsal joints [hindfoot, midfoot] . tarsometatarsal joints, metatarsophalangeal joints, interphalangeal joints",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,WL,Phalanx of other foot,"hallux, tuft of toe",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,WQ,Tarsal bones (alone),,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,WS,Metatarsal bones (alone),,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,WV,Soft tissue of the foot and ankle,"Abductor and adductor hallucis muscles; Abductor digiti muscle of foot; Extensor digitorum brevis muscle of foot; Interossei, intrinsic and extrinsic muscles of foot; Peroneus [longus, brevis, tertius] muscles; Tibialis posterior, flexor digitorum longus, flexor hallucis longus muscles; [Quadratus] plantaris; Plantar fascia; Soft tissue [neoplasm] arising in or extending into foot; Wound, soft tissue of foot and ankle, tendons of ankle and foot, ligaments of foot",Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,WY,Bone marrow,,Diagnostic Interventions on the Musculoskeletal System,10,
Group,2,WZ,Musculoskeletal system NEC,,Diagnostic Interventions on the Musculoskeletal System,10,
